/* DATA DESCRIPTION:
Citation:	Lamy, Frank (2024): Pacific Antarctic Cirumpolar Current strength at Site PS75/076 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.965447, 
	In: Lamy, F (2024): Pacific Antarctic Cirumpolar Current strength reconstrucion [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.965443
Abstract:	The data contain the ACC strength record at site PS75/076. The absolute ACC strength record was calculated from sortable silt data using a formula from the Scotia Sea by McCave et al. (2017). The sortable silt record was calculated from ln(Zr/Rb) using a regional calibration from discrete grain-size measurement . The ln(Zr(/Rb record was interpolated to 0.5 kyr and 9-point adjacent averaged.
Keyword(s):	Age model; Stratigraphy
Related to:	McCave, I Nicholas; Thornalley, David J R; Hall, Ian R (2017): Relation of sortable silt grain-size to deep-sea current speeds: Calibration of the 'Mud Current Meter'. Deep Sea Research Part I: Oceanographic Research Papers, 127, 1-12, https://doi.org/10.1016/j.dsr.2017.07.003
Coverage:	LATITUDE: -55.528500 * LONGITUDE: -156.139830
	DATE/TIME START: 2010-01-01T13:59:00 * DATE/TIME END: 2010-01-01T13:59:00
	MINIMUM ELEVATION: -3742.0 m * MAXIMUM ELEVATION: -3742.0 m
Event(s):	PS75/076-2 * LATITUDE: -55.528500 * LONGITUDE: -156.139830 * DATE/TIME: 2010-01-01T13:59:00 * ELEVATION: -3742.0 m * RECOVERY: 20.95 m * LOCATION: South Pacific Ocean * CAMPAIGN: ANT-XXVI/2 (PS75 BIPOMAC) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Piston corer (BGR type) (KL) * COMMENT: TC 0.65m
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	ln-Zirconium/Rubidium ratio (ln(Zr/Rb)) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	Sortable-silt mean [µm] (SS) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	Antarctic Circumpolar Current, strength [m/s] (ACC strength) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	Antarctic Circumpolar Current, strength [%] (ACC strength) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	7796 data points
*/
Age [ka BP]	ln(Zr/Rb)	SS [µm]	ACC strength [m/s]	ACC strength [%]
242.5	1.4675	16.3632	7.0055	111.909
243.0	1.4331	16.2804	6.8650	109.665
243.5	1.4482	16.3169	6.9270	110.654
244.0	1.3933	16.1846	6.7028	107.073
244.5	1.3311	16.0348	6.4488	103.016
245.0	1.2638	15.8729	6.1745	98.634
245.5	1.2465	15.8313	6.1038	97.505
246.0	1.2575	15.8577	6.1486	98.220
246.5	1.1890	15.6929	5.8693	93.758
247.0	1.1614	15.6262	5.7563	91.953
247.5	1.1778	15.6659	5.8235	93.028
248.0	1.1082	15.4982	5.5393	88.487
248.5	1.0823	15.4357	5.4335	86.796
249.0	1.0689	15.4035	5.3788	85.924
249.5	1.0663	15.3974	5.3685	85.758
250.0	1.0317	15.3141	5.2273	83.503
250.5	1.0158	15.2758	5.1624	82.467
251.0	1.0290	15.3074	5.2160	83.322
251.5	1.0215	15.2894	5.1854	82.834
252.0	1.0001	15.2379	5.0982	81.440
252.5	0.9753	15.1782	4.9970	79.825
253.0	0.9848	15.2012	5.0360	80.447
253.5	0.9963	15.2287	5.0825	81.191
254.0	1.0070	15.2546	5.1265	81.892
254.5	1.0406	15.3354	5.2634	84.080
255.0	1.0495	15.3568	5.2997	84.660
255.5	1.0480	15.3533	5.2938	84.565
256.0	1.0661	15.3968	5.3675	85.743
256.5	1.0390	15.3316	5.2570	83.978
257.0	1.0309	15.3122	5.2240	83.451
257.5	1.0148	15.2734	5.1583	82.401
258.0	0.9877	15.2080	5.0475	80.630
258.5	0.9695	15.1643	4.9734	79.447
259.0	0.9361	15.0838	4.8369	77.267
259.5	0.9291	15.0671	4.8086	76.815
260.0	0.9319	15.0736	4.8197	76.992
260.5	0.9473	15.1108	4.8827	77.999
261.0	0.9346	15.0803	4.8311	77.173
261.5	0.9501	15.1176	4.8943	78.184
262.0	0.9469	15.1099	4.8811	77.973
262.5	0.9492	15.1155	4.8907	78.126
263.0	0.9239	15.0545	4.7872	76.473
263.5	0.9220	15.0500	4.7796	76.352
264.0	0.9094	15.0197	4.7282	75.531
264.5	0.8909	14.9751	4.6528	74.326
265.0	0.8225	14.8102	4.3733	69.860
265.5	0.8315	14.8319	4.4100	70.447
266.0	0.7903	14.7329	4.2422	67.766
266.5	0.7814	14.7115	4.2059	67.187
267.0	0.7933	14.7401	4.2543	67.961
267.5	0.8118	14.7846	4.3298	69.167
268.0	0.8211	14.8071	4.3679	69.775
268.5	0.8032	14.7638	4.2946	68.605
269.0	0.7744	14.6945	4.1771	66.728
269.5	0.7721	14.6891	4.1680	66.581
270.0	0.7929	14.7392	4.2528	67.936
270.5	0.8067	14.7723	4.3091	68.835
271.0	0.8125	14.7861	4.3324	69.208
271.5	0.7837	14.7169	4.2151	67.334
272.0	0.7587	14.6567	4.1130	65.703
272.5	0.7266	14.5795	3.9822	63.614
273.0	0.7433	14.6197	4.0503	64.701
273.5	0.7664	14.6752	4.1443	66.203
274.0	0.7785	14.7044	4.1938	66.994
274.5	0.7580	14.6551	4.1103	65.659
275.0	0.7512	14.6386	4.0824	65.214
275.5	0.7114	14.5427	3.9199	62.618
276.0	0.7325	14.5937	4.0063	63.998
276.5	0.7549	14.6477	4.0978	65.460
277.0	0.7733	14.6918	4.1725	66.653
277.5	0.7630	14.6671	4.1308	65.987
278.0	0.7576	14.6541	4.1087	65.635
278.5	0.7511	14.6385	4.0821	65.210
279.0	0.7645	14.6706	4.1366	66.080
279.5	0.7624	14.6657	4.1283	65.947
280.0	0.8068	14.7725	4.3093	68.839
280.5	0.8170	14.7972	4.3511	69.507
281.0	0.8152	14.7928	4.3437	69.388
281.5	0.8188	14.8013	4.3581	69.619
282.0	0.8386	14.8491	4.4391	70.912
282.5	0.8839	14.9582	4.6241	73.867
283.0	0.8760	14.9391	4.5916	73.349
283.5	0.8840	14.9584	4.6244	73.872
284.0	0.9071	15.0140	4.7187	75.379
284.5	0.9402	15.0936	4.8536	77.534
285.0	0.9641	15.1512	4.9513	79.094
285.5	0.9984	15.2338	5.0912	81.329
286.0	1.0315	15.3135	5.2262	83.486
286.5	1.0381	15.3293	5.2531	83.915
287.0	1.0078	15.2565	5.1296	81.943
287.5	1.0568	15.3744	5.3295	85.136
288.0	1.0637	15.3911	5.3578	85.588
288.5	1.0677	15.4007	5.3740	85.847
289.0	1.0415	15.3376	5.2672	84.140
289.5	1.0147	15.2730	5.1576	82.390
290.0	0.9769	15.1822	5.0037	79.931
290.5	0.9945	15.2246	5.0755	81.079
291.0	0.9729	15.1724	4.9871	79.666
291.5	0.9955	15.2269	5.0796	81.143
292.0	0.9828	15.1962	5.0275	80.312
292.5	0.9647	15.1527	4.9538	79.134
293.0	0.9629	15.1484	4.9464	79.015
293.5	0.9545	15.1282	4.9121	78.469
294.0	0.9187	15.0419	4.7659	76.132
294.5	0.9257	15.0587	4.7944	76.588
295.0	0.8870	14.9656	4.6367	74.069
295.5	0.9185	15.0414	4.7651	76.120
296.0	0.9081	15.0165	4.7230	75.447
296.5	0.9103	15.0218	4.7318	75.588
297.0	0.9272	15.0625	4.8009	76.691
297.5	0.9265	15.0607	4.7977	76.641
298.0	0.9264	15.0605	4.7974	76.636
298.5	0.9353	15.0820	4.8339	77.219
299.0	0.9250	15.0571	4.7917	76.544
299.5	0.9278	15.0640	4.8033	76.731
300.0	0.9173	15.0387	4.7604	76.045
300.5	0.9135	15.0295	4.7449	75.797
301.0	0.9202	15.0456	4.7722	76.233
301.5	0.8708	14.9266	4.5704	73.010
302.0	0.8661	14.9154	4.5515	72.707
302.5	0.8905	14.9740	4.6509	74.295
303.0	0.9356	15.0826	4.8350	77.236
303.5	0.9629	15.1483	4.9463	79.014
304.0	0.9615	15.1451	4.9408	78.926
304.5	1.0035	15.2461	5.1120	81.661
305.0	1.0008	15.2396	5.1010	81.486
305.5	1.0221	15.2910	5.1881	82.876
306.0	1.0657	15.3960	5.3661	85.720
306.5	1.0659	15.3965	5.3669	85.734
307.0	1.0619	15.3867	5.3504	85.469
307.5	1.0870	15.4471	5.4527	87.103
308.0	1.0941	15.4641	5.4816	87.566
308.5	1.0909	15.4565	5.4687	87.359
309.0	1.0623	15.3877	5.3521	85.496
309.5	1.1052	15.4909	5.5270	88.291
310.0	1.1006	15.4800	5.5085	87.995
310.5	1.1243	15.5371	5.6052	89.540
311.0	1.1634	15.6312	5.7647	92.088
311.5	1.1732	15.6546	5.8044	92.722
312.0	1.1284	15.5468	5.6218	89.805
312.5	1.0809	15.4326	5.4281	86.711
313.0	1.0602	15.3827	5.3436	85.361
313.5	1.0400	15.3340	5.2610	84.042
314.0	1.0579	15.3771	5.3340	85.208
314.5	1.0388	15.3312	5.2563	83.966
315.0	1.0304	15.3108	5.2217	83.414
315.5	1.0012	15.2406	5.1027	81.512
316.0	0.9917	15.2177	5.0638	80.892
316.5	1.0175	15.2798	5.1691	82.574
317.0	1.0404	15.3350	5.2628	84.069
317.5	1.0862	15.4453	5.4496	87.054
318.0	1.1045	15.4894	5.5244	88.249
318.5	1.0875	15.4483	5.4548	87.138
319.0	1.0874	15.4481	5.4543	87.130
319.5	1.0719	15.4107	5.3910	86.119
320.0	1.0644	15.3927	5.3604	85.630
320.5	1.0902	15.4550	5.4661	87.317
321.0	1.1028	15.4853	5.5174	88.137
321.5	1.1368	15.5670	5.6560	90.352
322.0	1.1419	15.5794	5.6769	90.686
322.5	1.1739	15.6564	5.8075	92.771
323.0	1.1943	15.7054	5.8906	94.099
323.5	1.2215	15.7711	6.0018	95.875
324.0	1.2291	15.7892	6.0326	96.367
324.5	1.2648	15.8752	6.1782	98.694
325.0	1.3040	15.9697	6.3384	101.253
325.5	1.3642	16.1147	6.5842	105.180
326.0	1.4209	16.2511	6.8154	108.873
326.5	1.4633	16.3532	6.9885	111.638
327.0	1.4617	16.3494	6.9820	111.533
327.5	1.4172	16.2423	6.8005	108.634
328.0	1.3972	16.1940	6.7187	107.327
328.5	1.4028	16.2076	6.7416	107.694
329.0	1.3990	16.1985	6.7262	107.447
329.5	1.3765	16.1442	6.6342	105.977
330.0	1.3401	16.0565	6.4856	103.603
330.5	1.2884	15.9322	6.2748	100.237
331.0	1.2330	15.7986	6.0484	96.621
331.5	1.2289	15.7888	6.0318	96.355
332.0	1.2762	15.9027	6.2250	99.441
332.5	1.3235	16.0167	6.4181	102.525
333.0	1.3663	16.1197	6.5928	105.316
333.5	1.3864	16.1680	6.6745	106.621
334.0	1.3744	16.1392	6.6257	105.842
334.5	1.3556	16.0939	6.5489	104.616
335.0	1.3678	16.1232	6.5987	105.410
335.5	1.4022	16.2060	6.7391	107.653
336.0	1.4020	16.2056	6.7382	107.640
336.5	1.3672	16.1218	6.5963	105.372
337.0	1.3245	16.0190	6.4220	102.588
337.5	1.2776	15.9060	6.2305	99.529
338.0	1.2403	15.8162	6.0783	97.098
338.5	1.2231	15.7748	6.0082	95.977
339.0	1.1918	15.6994	5.8804	93.936
339.5	1.1448	15.5863	5.6886	90.872
340.0	1.0851	15.4425	5.4449	86.979
340.5	1.0211	15.2884	5.1838	82.808
341.0	0.9721	15.1706	4.9840	79.617
341.5	0.9242	15.0553	4.7886	76.495
342.0	0.8886	14.9694	4.6431	74.171
342.5	0.8678	14.9193	4.5582	72.814
343.0	0.8411	14.8551	4.4493	71.076
343.5	0.8493	14.8748	4.4827	71.609
344.0	0.8373	14.8460	4.4340	70.830
344.5	0.8404	14.8534	4.4465	71.030
345.0	0.8729	14.9317	4.5791	73.149
345.5	0.8887	14.9696	4.6434	74.176
346.0	0.8959	14.9872	4.6731	74.651
346.5	0.8954	14.9858	4.6708	74.613
347.0	0.8827	14.9554	4.6193	73.791
347.5	0.8723	14.9304	4.5769	73.113
348.0	0.8456	14.8659	4.4676	71.367
348.5	0.8645	14.9114	4.5448	72.601
349.0	0.8996	14.9960	4.6882	74.891
349.5	0.8876	14.9672	4.6393	74.110
350.0	0.8875	14.9668	4.6386	74.100
350.5	0.9198	15.0445	4.7703	76.203
351.0	0.9416	15.0970	4.8594	77.625
351.5	0.9664	15.1568	4.9606	79.243
352.0	0.9930	15.2209	5.0694	80.981
352.5	1.0127	15.2683	5.1496	82.262
353.0	0.9723	15.1710	4.9847	79.628
353.5	0.9129	15.0280	4.7423	75.756
354.0	0.8912	14.9757	4.6538	74.341
354.5	0.8957	14.9866	4.6722	74.635
355.0	0.8608	14.9025	4.5297	72.359
355.5	0.8404	14.8535	4.4467	71.033
356.0	0.8230	14.8115	4.3754	69.894
356.5	0.7964	14.7474	4.2669	68.161
357.0	0.7757	14.6976	4.1824	66.811
357.5	0.7914	14.7355	4.2465	67.836
358.0	0.8047	14.7675	4.3008	68.703
358.5	0.8142	14.7905	4.3398	69.325
359.0	0.8085	14.7765	4.3162	68.948
359.5	0.8118	14.7846	4.3299	69.167
360.0	0.8125	14.7863	4.3328	69.213
360.5	0.8147	14.7916	4.3417	69.357
361.0	0.8262	14.8191	4.3884	70.102
361.5	0.8399	14.8522	4.4444	70.997
362.0	0.8336	14.8370	4.4187	70.586
362.5	0.8315	14.8321	4.4103	70.452
363.0	0.8156	14.7937	4.3452	69.412
363.5	0.7882	14.7277	4.2334	67.626
364.0	0.7911	14.7348	4.2455	67.819
364.5	0.7828	14.7147	4.2113	67.273
365.0	0.8020	14.7611	4.2900	68.530
365.5	0.7813	14.7111	4.2053	67.177
366.0	0.7667	14.6760	4.1458	66.227
366.5	0.7987	14.7529	4.2761	68.309
367.0	0.8127	14.7868	4.3335	69.225
367.5	0.8417	14.8566	4.4519	71.116
368.0	0.8770	14.9415	4.5957	73.414
368.5	0.9048	15.0084	4.7092	75.227
369.0	0.9616	15.1452	4.9410	78.929
369.5	0.9753	15.1783	4.9971	79.825
370.0	1.0200	15.2859	5.1795	82.739
370.5	1.0381	15.3296	5.2535	83.921
371.0	1.0307	15.3115	5.2229	83.434
371.5	1.0306	15.3113	5.2225	83.427
372.0	1.0278	15.3047	5.2114	83.250
372.5	1.0536	15.3668	5.3165	84.929
373.0	1.0266	15.3017	5.2062	83.167
373.5	0.9870	15.2063	5.0446	80.584
374.0	0.9627	15.1480	4.9458	79.006
374.5	0.9151	15.0334	4.7515	75.902
375.0	0.9075	15.0150	4.7203	75.404
375.5	0.9110	15.0235	4.7347	75.635
376.0	0.9194	15.0435	4.7687	76.178
376.5	0.9460	15.1076	4.8773	77.913
377.0	0.9106	15.0225	4.7331	75.608
377.5	0.9460	15.1077	4.8775	77.916
378.0	0.9584	15.1376	4.9281	78.723
378.5	0.9737	15.1744	4.9905	79.721
379.0	0.9832	15.1972	5.0291	80.337
379.5	0.9732	15.1732	4.9884	79.688
380.0	1.0075	15.2558	5.1285	81.925
380.5	1.0155	15.2751	5.1612	82.448
381.0	1.0150	15.2737	5.1588	82.410
381.5	1.0345	15.3209	5.2387	83.686
382.0	1.0016	15.2416	5.1044	81.540
382.5	1.0231	15.2933	5.1920	82.939
383.0	1.0099	15.2614	5.1380	82.077
383.5	1.0622	15.3875	5.3517	85.490
384.0	1.1283	15.5465	5.6212	89.795
384.5	1.1066	15.4945	5.5330	88.387
385.0	1.1388	15.5719	5.6643	90.484
385.5	1.1878	15.6899	5.8643	93.679
386.0	1.2354	15.8044	6.0583	96.778
386.5	1.2807	15.9136	6.2435	99.736
387.0	1.3625	16.1105	6.5772	105.067
387.5	1.4387	16.2939	6.8880	110.032
388.0	1.4554	16.3343	6.9564	111.125
388.5	1.4274	16.2668	6.8420	109.297
389.0	1.4345	16.2839	6.8709	109.759
389.5	1.4048	16.2124	6.7499	107.826
390.0	1.3399	16.0560	6.4848	103.591
390.5	1.3449	16.0680	6.5051	103.915
391.0	1.3971	16.1938	6.7183	107.321
391.5	1.3853	16.1653	6.6701	106.550
392.0	1.4169	16.2414	6.7990	108.610
392.5	1.4399	16.2969	6.8931	110.113
393.0	1.4854	16.4064	7.0786	113.077
393.5	1.5642	16.5960	7.4001	118.212
394.0	1.6864	16.8903	7.8989	126.180
394.5	1.8071	17.1810	8.3915	134.050
395.0	1.9111	17.4313	8.8158	140.827
395.5	2.0161	17.6842	9.2444	147.675
396.0	2.1188	17.9313	9.6633	154.366
396.5	2.1533	18.0145	9.8043	156.618
397.0	2.2095	18.1497	10.0335	160.279
397.5	2.2685	18.2918	10.2742	164.125
398.0	2.2928	18.3505	10.3737	165.714
398.5	2.2837	18.3285	10.3364	165.118
399.0	2.3491	18.4860	10.6033	169.382
399.5	2.3229	18.4228	10.4963	167.673
400.0	2.2985	18.3642	10.3969	166.084
400.5	2.2643	18.2819	10.2574	163.856
401.0	2.2807	18.3212	10.3241	164.922
401.5	2.2915	18.3473	10.3683	165.628
402.0	2.3333	18.4478	10.5386	168.348
402.5	2.3320	18.4448	10.5336	168.268
403.0	2.3541	18.4979	10.6236	169.706
403.5	2.3211	18.4184	10.4889	167.554
404.0	2.3283	18.4359	10.5185	168.027
404.5	2.3373	18.4574	10.5549	168.609
405.0	2.3431	18.4714	10.5786	168.988
405.5	2.3627	18.5186	10.6586	170.265
406.0	2.4168	18.6490	10.8796	173.796
406.5	2.4198	18.6561	10.8917	173.988
407.0	2.4412	18.7078	10.9793	175.388
407.5	2.4915	18.8288	11.1844	178.665
408.0	2.4983	18.8451	11.2120	179.106
408.5	2.5601	18.9940	11.4644	183.138
409.0	2.4983	18.8451	11.2121	179.107
409.5	2.4461	18.7195	10.9991	175.704
410.0	2.3656	18.5257	10.6706	170.457
410.5	2.2490	18.2448	10.1946	162.853
411.0	2.2738	18.3046	10.2959	164.471
411.5	2.2946	18.3547	10.3809	165.829
412.0	2.2873	18.3371	10.3510	165.351
412.5	2.2962	18.3586	10.3874	165.933
413.0	2.2509	18.2494	10.2024	162.978
413.5	2.3340	18.4495	10.5414	168.394
414.0	2.3919	18.5890	10.7780	172.173
414.5	2.4748	18.7886	11.1162	177.575
415.0	2.5987	19.0869	11.6219	185.654
415.5	2.5687	19.0148	11.4996	183.700
416.0	2.6034	19.0983	11.6412	185.962
416.5	2.6138	19.1231	11.6833	186.634
417.0	2.6445	19.1972	11.8088	188.639
417.5	2.6361	19.1770	11.7746	188.093
418.0	2.5989	19.0875	11.6228	185.668
418.5	2.6020	19.0949	11.6354	185.869
419.0	2.5725	19.0239	11.5150	183.946
419.5	2.5207	18.8992	11.3037	180.570
420.0	2.5123	18.8790	11.2694	180.023
420.5	2.4708	18.7788	11.0997	177.312
421.0	2.4508	18.7309	11.0185	176.014
421.5	2.3947	18.5957	10.7893	172.353
422.0	2.4204	18.6577	10.8944	174.032
422.5	2.3978	18.6031	10.8019	172.554
423.0	2.3812	18.5632	10.7343	171.474
423.5	2.4031	18.6160	10.8238	172.904
424.0	2.4080	18.6278	10.8437	173.221
424.5	2.3669	18.5287	10.6757	170.539
425.0	2.3064	18.3831	10.4290	166.597
425.5	2.2359	18.2133	10.1412	162.000
426.0	2.2079	18.1460	10.0271	160.178
426.5	2.1312	17.9613	9.7141	155.178
427.0	2.0487	17.7627	9.3775	149.800
427.5	1.9283	17.4727	8.8860	141.948
428.0	1.7804	17.1167	8.2825	132.308
428.5	1.6403	16.7793	7.7107	123.175
429.0	1.5719	16.6148	7.4318	118.719
429.5	1.5082	16.4613	7.1717	114.564
430.0	1.3979	16.1956	6.7214	107.370
430.5	1.2908	15.9377	6.2843	100.389
431.0	1.2090	15.7409	5.9507	95.058
431.5	1.1501	15.5990	5.7102	91.217
432.0	1.0898	15.4540	5.4643	87.290
432.5	1.0373	15.3275	5.2499	83.865
433.0	1.0004	15.2386	5.0994	81.460
433.5	0.9249	15.0568	4.7912	76.537
434.0	0.8838	14.9580	4.6237	73.861
434.5	0.8853	14.9614	4.6295	73.954
435.0	0.8642	14.9108	4.5438	72.585
435.5	0.8212	14.8072	4.3682	69.780
436.0	0.8050	14.7682	4.3021	68.724
436.5	0.8055	14.7695	4.3043	68.758
437.0	0.8048	14.7678	4.3013	68.711
437.5	0.8023	14.7618	4.2911	68.548
438.0	0.8025	14.7622	4.2919	68.561
438.5	0.7915	14.7357	4.2469	67.842
439.0	0.7806	14.7095	4.2025	67.132
439.5	0.7642	14.6700	4.1356	66.065
440.0	0.7760	14.6984	4.1838	66.834
440.5	0.7984	14.7523	4.2750	68.291
441.0	0.8063	14.7714	4.3074	68.808
441.5	0.8177	14.7987	4.3537	69.548
442.0	0.8124	14.7859	4.3321	69.203
442.5	0.8174	14.7980	4.3525	69.529
443.0	0.8285	14.8249	4.3981	70.257
443.5	0.8171	14.7974	4.3516	69.514
444.0	0.8406	14.8539	4.4473	71.044
444.5	0.8378	14.8473	4.4361	70.864
445.0	0.8214	14.8076	4.3688	69.789
445.5	0.8087	14.7770	4.3169	68.961
446.0	0.8128	14.7870	4.3338	69.231
446.5	0.8300	14.8285	4.4042	70.355
447.0	0.8331	14.8359	4.4168	70.555
447.5	0.8387	14.8493	4.4396	70.919
448.0	0.8375	14.8464	4.4347	70.841
448.5	0.8346	14.8394	4.4227	70.651
449.0	0.8259	14.8186	4.3875	70.088
449.5	0.8091	14.7781	4.3188	68.991
450.0	0.8086	14.7769	4.3168	68.958
450.5	0.7921	14.7371	4.2494	67.881
451.0	0.7939	14.7416	4.2569	68.001
451.5	0.7880	14.7273	4.2328	67.616
452.0	0.7814	14.7113	4.2057	67.183
452.5	0.7832	14.7158	4.2132	67.304
453.0	0.7470	14.6286	4.0654	64.942
453.5	0.7473	14.6292	4.0665	64.960
454.0	0.7589	14.6573	4.1141	65.720
454.5	0.7726	14.6901	4.1697	66.608
455.0	0.7822	14.7132	4.2088	67.234
455.5	0.7974	14.7499	4.2711	68.228
456.0	0.7987	14.7529	4.2761	68.309
456.5	0.8057	14.7699	4.3049	68.769
457.0	0.8150	14.7924	4.3430	69.377
457.5	0.8774	14.9425	4.5974	73.441
458.0	0.8631	14.9082	4.5393	72.513
458.5	0.8821	14.9539	4.6168	73.750
459.0	0.8686	14.9212	4.5614	72.866
459.5	0.8650	14.9127	4.5469	72.634
460.0	0.8504	14.8776	4.4875	71.685
460.5	0.8869	14.9654	4.6362	74.061
461.0	0.8689	14.9219	4.5626	72.885
461.5	0.8613	14.9038	4.5318	72.393
462.0	0.8198	14.8038	4.3625	69.688
462.5	0.8390	14.8500	4.4407	70.938
463.0	0.8297	14.8277	4.4030	70.335
463.5	0.8462	14.8674	4.4701	71.407
464.0	0.8650	14.9127	4.5469	72.634
464.5	0.8641	14.9105	4.5432	72.575
465.0	0.8367	14.8444	4.4312	70.787
465.5	0.8582	14.8963	4.5191	72.190
466.0	0.8846	14.9599	4.6270	73.914
466.5	0.8793	14.9470	4.6051	73.565
467.0	0.9053	15.0096	4.7112	75.258
467.5	0.8978	14.9917	4.6809	74.774
468.0	0.9013	15.0001	4.6951	75.001
468.5	0.8719	14.9293	4.5751	73.085
469.0	0.8732	14.9323	4.5802	73.166
469.5	0.8887	14.9696	4.6435	74.177
470.0	0.8968	14.9893	4.6768	74.709
470.5	0.9004	14.9979	4.6913	74.941
471.0	0.9355	15.0824	4.8346	77.229
471.5	0.9299	15.0690	4.8118	76.866
472.0	0.9554	15.1304	4.9159	78.528
472.5	0.9684	15.1616	4.9688	79.374
473.0	1.0075	15.2557	5.1284	81.923
473.5	1.0234	15.2941	5.1934	82.961
474.0	1.0322	15.3153	5.2293	83.535
474.5	1.0339	15.3194	5.2362	83.645
475.0	1.0268	15.3021	5.2070	83.178
475.5	1.0105	15.2631	5.1408	82.121
476.0	0.9853	15.2022	5.0376	80.474
476.5	0.9509	15.1195	4.8975	78.235
477.0	0.9150	15.0329	4.7507	75.890
477.5	0.8960	14.9873	4.6733	74.654
478.0	0.8940	14.9826	4.6653	74.526
478.5	0.9091	15.0188	4.7268	75.508
479.0	0.9411	15.0960	4.8576	77.598
479.5	0.9869	15.2061	5.0442	80.579
480.0	1.0458	15.3479	5.2846	84.418
480.5	1.1178	15.5214	5.5787	89.116
481.0	1.2031	15.7266	5.9265	94.673
481.5	1.2901	15.9361	6.2815	100.344
482.0	1.3508	16.0824	6.5295	104.305
482.5	1.3853	16.1655	6.6703	106.555
483.0	1.3936	16.1854	6.7041	107.094
483.5	1.3757	16.1422	6.6308	105.923
484.0	1.3585	16.1009	6.5608	104.806
484.5	1.3486	16.0770	6.5203	104.158
485.0	1.3458	16.0704	6.5091	103.979
485.5	1.3503	16.0811	6.5274	104.271
486.0	1.3597	16.1037	6.5657	104.883
486.5	1.3703	16.1292	6.6088	105.573
487.0	1.3821	16.1576	6.6569	106.341
487.5	1.3950	16.1888	6.7099	107.187
488.0	1.4092	16.2230	6.7678	108.111
488.5	1.4268	16.2654	6.8396	109.259
489.0	1.4477	16.3156	6.9248	110.620
489.5	1.4719	16.3738	7.0234	112.195
490.0	1.4993	16.4398	7.1353	113.983
490.5	1.5268	16.5060	7.2474	115.773
491.0	1.5497	16.5612	7.3410	117.268
491.5	1.5681	16.6055	7.4161	118.468
492.0	1.5820	16.6389	7.4727	119.372
492.5	1.5913	16.6614	7.5108	119.981
493.0	1.5861	16.6489	7.4897	119.644
493.5	1.5644	16.5965	7.4009	118.226
494.0	1.5260	16.5042	7.2445	115.726
494.5	1.4711	16.3720	7.0203	112.146
495.0	1.4094	16.2233	6.7683	108.121
495.5	1.3581	16.0998	6.5590	104.777
496.0	1.3172	16.0015	6.3923	102.114
496.5	1.2868	15.9283	6.2683	100.132
497.0	1.2669	15.8802	6.1869	98.831
497.5	1.2461	15.8302	6.1021	97.478
498.0	1.2230	15.7746	6.0078	95.972
498.5	1.1975	15.7133	5.9040	94.312
499.0	1.1698	15.6464	5.7905	92.501
499.5	1.1401	15.5751	5.6697	90.570
500.0	1.1093	15.5009	5.5439	88.561
500.5	1.0773	15.4238	5.4132	86.472
501.0	1.0440	15.3437	5.2775	84.305
501.5	1.0096	15.2608	5.1369	82.059
502.0	0.9767	15.1816	5.0026	79.914
502.5	0.9457	15.1069	4.8761	77.893
503.0	0.9166	15.0368	4.7573	75.996
503.5	0.8894	14.9713	4.6463	74.222
504.0	0.8710	14.9272	4.5716	73.028
504.5	0.8705	14.9259	4.5694	72.993
505.0	0.8878	14.9675	4.6398	74.118
505.5	0.9228	15.0518	4.7827	76.401
506.0	0.9756	15.1789	4.9982	79.843
506.5	1.0306	15.3114	5.2227	83.429
507.0	1.0870	15.4472	5.4529	87.107
507.5	1.1448	15.5864	5.6888	90.876
508.0	1.2041	15.7290	5.9305	94.737
508.5	1.2468	15.8318	6.1048	97.520
509.0	1.2509	15.8418	6.1217	97.791
509.5	1.2284	15.7876	6.0299	96.324
510.0	1.1816	15.6749	5.8388	93.272
510.5	1.1200	15.5266	5.5875	89.257
511.0	1.0804	15.4314	5.4260	86.678
511.5	1.1005	15.4797	5.5079	87.986
512.0	1.1293	15.5490	5.6255	89.864
512.5	1.1383	15.5706	5.6620	90.448
