/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T2) Stable oxygen and carbon isotope ratios of the benthic and planktonic foraminifera, carbonate content, and percent fragmentation of planktonic foraminifers for ODP Site 177-1089 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218128, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -40.936333 * LONGITUDE: 9.893983
	DATE/TIME START: 1997-12-19T00:00:00 * DATE/TIME END: 1997-12-19T00:00:00
	MINIMUM DEPTH, sediment/rock: -0.19 m * MAXIMUM DEPTH, sediment/rock: 94.94 m
Event(s):	177-1089 * LATITUDE: -40.936333 * LONGITUDE: 9.893983 * DATE/TIME: 1997-12-19T00:00:00 * ELEVATION: -4620.5 m * PENETRATION: 793.6 m * RECOVERY: 675.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 86 cores; 791.6 m cored; 2 m drilled; 85.4% recovery
Comment:	Depth is modified composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF) Hole C, and Scripps Institution of Oceanography (SIO) Hole A and B. Carbonate contenet and fragmentation determined at the Unifersity of Florida (UF).
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Calcium carbonate [%] (CaCO3) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Coulometric titration (Knap et al., 1996, IOC Manuals and Guides 29, UNESCO) (URI: hdl:10013/epic.27912.d001)
	Foraminifera, planktic, fragments [%] (Foram plankt fragm) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	9893 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]	Cibicidoides spp. δ18O [‰ PDB]	Cibicidoides spp. δ13C [‰ PDB]	CaCO3 [%]	Foram plankt fragm [%]
11.18	59.82	177-1089A-2-3,130-131.5	2.97	0.15	3.75	-0.96		31.9
11.23	60.15	177-1089A-2-3,135-136.5	3.18	0.28			21.7	47.2
11.28	60.48	177-1089A-2-3,140-141.5	2.83	-0.35			20.7	23.1
11.33	60.81	177-1089A-2-3,145-146.5	2.81	0.09				20.9
11.38	61.14	177-1089A-2-4,0-1.5	3.04	0.13				
11.43	61.47	177-1089A-2-4,5-6.5	2.83	0.29	3.80	-1.24	22.2	44.8
11.48	61.80	177-1089A-2-4,10-11.5	3.02	-0.05	3.79	-1.13	20.0	43.3
11.53	62.13	177-1089A-2-4,15-16.5	2.77	-0.09	3.86	-1.08	14.1	36.7
11.58	62.46	177-1089A-2-4,20-21.5	2.63	-0.05	3.93	-1.02	17.9	45.8
11.63	62.79	177-1089A-2-4,25-26.5	2.74	-0.15	3.84	-1.15	17.4	29.2
11.68	63.16	177-1089A-2-4,30-31.5	3.02	0.21	3.88	-0.81	13.1	43.0
11.73	63.55	177-1089A-2-4,34-35.5	2.85	0.15	3.89	-0.78	11.4	60.0
11.78	63.95	177-1089A-2-4,35.5-37			3.77	-0.97	12.3	35.6
11.83	64.35	177-1089A-2-4,43-46.5	2.93	0.30			12.9	48.6
11.88	64.75	177-1089A-2-4,50-51.5	2.83	0.25				
11.93	65.15	177-1089A-2-4,55-56.5	3.07	0.38			17.0	46.1
11.98	65.54	177-1089A-2-4,58.5-60	2.98	0.04	3.86	-1.07	16.3	47.1
12.03	65.94	177-1089A-2-4,65-66.5	2.93	0.25	3.88	-0.87	17.3	32.2
12.08	66.34	177-1089A-2-4,70-72.5	3.18	0.28			17.8	32.1
12.13	66.74	177-1089A-2-4,75-76.5	2.99	0.07	3.93	-0.95	17.1	35.3
12.18	67.14	177-1089A-2-4,80-81.5	2.88	0.01	3.82	-0.91	15.0	26.7
12.23	67.53	177-1089A-2-4,85-86.5	3.16	0.47	3.79	-0.89	13.0	25.9
12.28	67.93	177-1089A-2-4,90-91.5	2.86	0.63	3.80	-0.87	15.8	21.6
12.33	68.33	177-1089A-2-4,95-96.5	2.74	0.47	3.82	-0.81	18.3	24.6
12.38	68.73	177-1089A-2-4,97.5-99	3.16	0.47	3.94	-1.05		
12.43	69.12	177-1089A-2-4,105-106.5	2.80	0.27	3.80	-0.99	14.3	19.5
12.48	69.52	177-1089A-2-4,110-111.5	3.27	0.51	3.71	-0.81		23.9
12.53	69.92	177-1089A-2-4,115-116.5	3.11	0.20	3.79	-0.87	16.3	51.7
12.58	70.29	177-1089A-2-4,120-121.5	2.72	0.14	3.81	-1.09	18.6	41.3
12.63	70.59	177-1089A-2-4,125-126.5	2.90	0.35	3.72	-0.87	16.2	32.0
12.68	70.89	177-1089A-2-4,130-131.5	2.69	0.27	3.70	-0.89		30.6
12.73	71.19	177-1089A-2-4,135-136.5	2.67	0.22	3.67	-0.68		29.1
12.78	71.49	177-1089A-2-4,140-141.5	3.04	0.43	3.82	-0.45		41.7
12.83	71.79	177-1089A-2-4,144-145			3.67	-0.37		42.8
12.88	72.09	177-1089A-2-5,0-1.5	3.11	0.81	3.64	-0.54		48.0
12.93	72.39	177-1089A-2-5,5-6.5	2.74	0.12	3.58	-0.68	26.3	52.3
12.98	72.69	177-1089A-2-5,10-11.5	2.79	0.55	3.56	-0.21	11.6	46.4
13.03	72.99	177-1089A-2-5,15-16.5	2.70	0.37	3.59	-0.65	12.8	21.5
13.08	73.29	177-1089A-2-5,19-21.5	2.45	0.38	3.40	-0.23	16.5	20.5
13.13	73.59	177-1089A-2-5,25-26.5	2.61	0.38	3.49	-0.40	19.7	41.7
13.18	73.89	177-1089A-2-5,30-31.5	3.35	0.08	3.54	-0.22		77.0
13.23	74.19	177-1089A-2-5,35-36.5	3.03	0.95	3.48	-0.04		51.2
13.28	74.49	177-1089A-2-5,40-41.5	2.74	0.76	3.50	-0.14	29.9	52.8
13.33	74.79	177-1089A-2-5,45-46.5	2.94	1.00	3.52	-0.15	28.3	48.4
13.38	75.09	177-1089A-2-5,50-51.5	2.82	1.14	3.42	-0.45		65.0
13.43	75.39	177-1089A-2-5,55-56.5	2.61	0.73	3.38	-0.17	55.0	39.2
13.48	75.69	177-1089A-2-5,59-61.5	2.44	0.36	3.52	-0.51	19.2	71.2
13.53	75.99	177-1089A-2-5,65-66.5	2.43	0.04	3.37	-0.12	22.3	75.5
13.58	76.30	177-1089A-2-5,70-71.5	2.54	0.91	3.52	-0.32		63.0
13.63	76.60	177-1089A-2-5,75-76.5	2.77	0.66	3.44	-0.23	31.3	53.1
13.68	76.90	177-1089A-2-5,80-81.5	2.68	1.06	3.37	-0.41	36.8	54.6
13.73	77.20	177-1089A-2-5,85-86.5	2.44	0.87	3.43	-0.38	36.3	58.6
13.78	77.50	177-1089A-2-5,90-91.5	2.47	0.64	3.38	0.04	39.6	56.5
13.83	77.80	177-1089A-2-5,95-96.5	2.33	0.56	3.40	-0.31	41.5	43.2
13.88	78.10	177-1089A-2-5,99-101	2.68	0.96	3.18	-0.23		46.1
13.93	78.40	177-1089A-2-5,105-106.5	2.47	0.55	3.33	-0.38	48.6	52.2
13.98	78.71	177-1089A-2-5,110-111.5	2.56	0.92	3.18	-0.27		51.3
14.05	79.13	177-1089B-2-3,55-56.5	2.49	0.88	3.14	0.06	47.8	43.0
14.10	79.43	177-1089B-2-3,60-61.5	2.33	0.53	3.00	0.03	44.4	48.8
14.15	79.73	177-1089B-2-3,65-66.5	2.33	0.59	3.00	-0.20	40.0	54.7
14.20	80.03	177-1089B-2-3,69-71.5	2.44	0.69	2.96	-0.23	40.8	53.0
14.25	80.33	177-1089B-2-3,75-76.5	2.48	0.74	2.91	-0.26	31.9	50.5
14.30	80.63	177-1089B-2-3,80-82.5	2.49	0.75	3.04	-0.35	23.8	64.8
14.35	80.94	177-1089B-2-3,85-86.5	2.73	0.49	3.09	-0.40	22.5	71.4
14.40	81.25	177-1089B-2-3,90-91.5	2.31	0.77	2.95	-0.52	18.3	56.6
14.45	81.72	177-1089B-2-3,95-96.5	2.46	0.56	3.03	-0.32	18.8	74.1
14.50	82.19	177-1089B-2-3,100-101.5	2.55	0.70	3.41	-0.70		77.4
14.55	82.66	177-1089B-2-3,104-106.5	2.26	0.27	3.26	-0.42	19.1	67.1
14.60	83.13	177-1089B-2-3,110-111.5	2.46	0.53	3.34	-0.63	14.8	76.5
14.65	83.60	177-1089B-2-3,115-116.5	2.08	0.09	3.23	-0.59	12.6	53.4
14.70	84.07	177-1089B-2-3,119-121.5	2.17	0.28	3.17	-0.82	13.8	63.3
14.75	84.54	177-1089B-2-3,125-126.5	2.25	0.38	3.36	-0.81	16.4	48.9
14.80	85.02	177-1089B-2-3,130-131.5	2.23	0.19	3.30	-0.86	17.1	54.9
14.85	85.49	177-1089B-2-3,135-136.5	2.59	0.36	3.41	-0.62	21.1	69.5
14.90	85.96	177-1089B-2-3,140-141.5	2.72	0.63	3.38	-0.44	24.8	76.3
14.95	86.27	177-1089B-2-3,145-146.5			3.42	-0.41		64.4
15.00	86.90	177-1089B-2-4,0-1.5	2.86	0.49				62.7
15.05	87.37	177-1089B-2-4,5-6.5	2.72	0.96	3.33	-0.29	27.3	63.1
15.10	87.84	177-1089B-2-4,10-11.5	2.72	0.76	3.29	-0.28	27.8	68.5
15.15	88.31	177-1089B-2-4,15-16.5	2.66	0.89	3.34	-0.45	26.3	66.2
15.20	88.78	177-1089B-2-4,20-21.5	2.71	0.77	3.48	-0.54	26.8	65.7
15.25	89.25	177-1089B-2-4,25-26.5	2.53	0.70	3.43	-0.70	22.9	61.8
15.30	89.72	177-1089B-2-4,30-31.5	2.55	0.63	3.26	-0.63	20.3	60.0
15.35	90.21	177-1089B-2-4,35-36.5	2.35	0.48	3.33	-0.58	22.1	75.3
15.40	90.71	177-1089B-2-4,40-43	2.53	0.69	3.33	-0.42	18.3	36.7
15.45	91.20	177-1089B-2-4,46-47.5	2.81	0.28	3.31	-0.68	18.6	73.3
15.50	91.70	177-1089B-2-4,50-51.5	2.70	0.75				75.2
15.55	92.20	177-1089B-2-4,55-56.5	2.47	0.63	3.31	-0.59	22.0	73.0
15.60	92.69	177-1089B-2-4,60-61.5	2.32	0.41	3.24	-0.57	23.0	68.5
15.65	93.19	177-1089B-2-4,65-66.5	2.48	0.86	3.29	-0.68	22.7	81.4
15.70	93.69	177-1089B-2-4,69-71.5	2.63	0.60	3.20	-0.38	22.6	77.9
15.75	94.18	177-1089B-2-4,75-76.5	2.27	0.44	3.25	-0.33	21.5	73.6
15.80	94.68	177-1089B-2-4,80-81.5	2.48	0.91	3.14	-0.51	22.8	71.2
15.85	95.17	177-1089B-2-4,85-86.5	2.47	1.05			23.8	80.9
15.90	95.67	177-1089B-2-4,91-93	2.56	0.78			26.8	70.9
15.95	96.17	177-1089B-2-4,95-96.5	2.48	0.68	2.90	-0.08	27.6	72.1
16.00	96.66	177-1089B-2-4,100-101.5	2.42	0.81	3.06	-0.19		75.6
16.05	97.16	177-1089B-2-4,105-106.5	2.54	0.85	3.08	-0.10	28.4	62.7
16.10	97.66	177-1089B-2-4,110-111.5	2.35	0.67	3.09	-0.04	30.2	70.8
16.15	98.15	177-1089B-2-4,115-116.5	2.50	0.62	3.14	-0.20	31.8	67.5
16.20	98.65	177-1089B-2-4,120-121.5	2.41	0.69	3.14	-0.42	33.1	67.5
16.25	99.13	177-1089B-2-4,125-126.5	2.23	0.83	3.07	-0.25	35.8	63.2
16.30	99.60	177-1089B-2-4,130-131.5	2.45	0.74	3.05	-0.13	37.0	65.1
16.35	100.07	177-1089B-2-4,135-136.5	2.46	0.78	3.20	-0.38	34.8	59.5
16.40	100.54	177-1089B-2-4,140-141.5	2.69	0.73	3.24	-0.19	36.9	58.7
16.45	101.00	177-1089B-2-4,145-146.5	2.42	0.79				59.4
16.50	101.47	177-1089B-2-5,0-1.5	2.58	0.64	3.13	-0.10		60.5
16.55	101.94	177-1089B-2-5,5-6.5	2.32	0.66	3.38	-0.54	35.3	64.7
16.60	102.41	177-1089B-2-5,10-11.5	2.53	0.77	3.42	-0.34	27.7	71.9
16.65	102.88	177-1089B-2-5,15-16.5	2.17	0.52			31.6	52.0
16.70	103.34	177-1089B-2-5,20-21.5	2.43	0.40	3.08	-0.55	22.0	81.3
16.75	103.81	177-1089B-2-5,25-26.5	2.39	0.75	3.14	-0.27	27.0	54.7
16.80	104.28	177-1089B-2-5,30-31.5	2.51	0.26	3.18	-0.79	23.7	63.6
16.85	104.70	177-1089B-2-5,35-36.5	2.40	0.81	3.30	-0.55	31.6	55.9
16.90	105.07	177-1089B-2-5,40-41.5	2.51	0.77	3.25	-0.64	36.8	48.7
16.95	105.40	177-1089B-2-5,45-46.5	2.68	0.55	3.32	-0.37	38.3	41.1
17.00	105.71	177-1089B-2-5,50-51.5	2.53	0.23				34.8
17.05	106.00	177-1089B-2-5,55-56.5	2.67	0.35	3.24	-0.51	36.8	38.6
17.10	106.28	177-1089B-2-5,60-61.5	2.32	0.30	3.30	-0.47	34.5	35.6
17.15	106.55	177-1089B-2-5,65-66.5	2.30	0.32	3.31	-0.69	33.7	49.6
17.20	106.82	177-1089B-2-5,69-71.5	2.52	0.62	3.27	-0.90	29.8	60.2
17.25	107.08	177-1089B-2-5,75-76.5	2.40	0.12	3.31	-0.47	28.9	57.0
17.30	107.34	177-1089B-2-5,80-81.5	2.31	0.67	3.26	-0.53		29.0
17.35	107.60	177-1089B-2-5,85-86.5	2.26	0.30	3.26	-0.37	16.8	79.4
17.40	107.86	177-1089B-2-5,90-91.5	2.27	0.20			14.5	66.7
17.45	108.12	177-1089B-2-5,95-96.5	2.30	0.02	3.26	-0.56	15.1	66.0
17.50	108.38	177-1089B-2-5,99-101.5	2.50	0.46				78.1
17.55	108.65	177-1089B-2-5,105-106.5	2.11	0.50	3.31	-0.47	14.3	75.3
17.60	108.91	177-1089B-2-5,110-111.5	2.30	0.43	3.33	-0.73	14.4	40.4
17.65	109.18	177-1089B-2-5,115-116.5	2.54	0.46	3.30	-0.68	17.2	71.0
17.70	109.45	177-1089B-2-5,120-121.5	2.38	0.11	3.39	-0.62	21.1	74.1
17.75	109.73	177-1089B-2-5,125-126.5	2.13	0.33	3.37	-0.42	21.5	79.2
17.80	110.01	177-1089B-2-5,130-131.5	2.36	0.66	3.37	-0.38	23.3	79.4
17.90	110.57	177-1089B-2-5,140-141.5	2.73	0.59	3.31	-0.45	27.0	76.3
17.95	110.86	177-1089B-2-5,145-146.5	2.70	0.28	3.43	-0.57		53.4
18.00	111.16	177-1089B-2-6,0-1.5	2.79	0.68			24.7	
18.05	111.46	177-1089B-2-6,5-6.5	2.39	0.61	3.23	-0.46	23.3	69.6
18.10	111.76	177-1089B-2-6,10-11.5	2.18	0.10	3.39	-0.52		32.5
18.15	112.06	177-1089B-2-6,15-16.5	2.28	0.26	3.30	-0.48		31.9
18.20	112.38	177-1089B-2-6,20-21.5	2.70	0.66	3.31	-0.41		
18.25	112.69	177-1089B-2-6,25-26.5	2.42	0.23	3.29	-0.52		64.8
18.30	113.01	177-1089B-2-6,30-31.5	2.59	0.28	3.26	-0.46		82.7
18.35	113.34	177-1089B-2-6,35-36.5	2.33	0.70	3.34	-0.51		86.7
18.40	113.67	177-1089B-2-6,40-41.5	2.28	0.12	3.19	-0.36		88.3
18.45	114.00	177-1089B-2-6,45-46.5	2.23	0.54	3.15	-0.34		
18.50	114.35	177-1089B-2-6,50-51.5	2.61	0.72	2.89	-0.48		91.4
18.53	114.56	177-1089D-3-4,115-116.5					13.2	
18.58	114.91	177-1089D-3-4,120-121.5	2.20	0.72			15.1	63.2
18.63	115.27	177-1089D-3-4,125-126.5	2.85	0.39			13.2	
18.68	115.63	177-1089D-3-4,130-131.5	2.20	0.18			12.3	87.5
18.73	116.00	177-1089D-3-4,135-136.5	2.05	0.42			13.3	
18.78	116.37	177-1089D-3-4,140-141.5	1.83	0.28			14.3	86.0
18.83	116.75	177-1089D-3-4,145-146.5	2.50	0.48	2.75	-0.42		
18.88	117.13	177-1089D-3-5,0-1.5	2.42	0.38				90.7
18.93	117.51	177-1089D-3-5,5-6.5	2.63	0.21			15.3	
18.98	117.88	177-1089D-3-5,10-11.5	2.10	0.41			17.6	88.0
19.03	118.26	177-1089D-3-5,15-16.5	2.12	0.51			17.8	
19.08	118.61	177-1089D-3-5,20-21.5	2.05	0.57			19.2	90.1
19.13	118.92	177-1089D-3-5,25-26.5	2.12	0.66	2.30	-0.04	19.3	
19.18	119.11	177-1089D-3-5,30-31.5	2.16	0.61	2.39	-0.17	22.9	79.5
19.23	119.22	177-1089D-3-5,35-36.5	2.36	0.08	2.37	-0.18	23.5	
19.28	119.31	177-1089D-3-5,40-41.5	2.02	0.67	2.39	-0.02	24.6	64.7
19.33	119.40	177-1089D-3-5,45-46.5	2.18	0.33	2.39	0.07	26.3	
19.38	119.51	177-1089D-3-5,50-51.5	2.30	0.49		0.00		64.8
19.43	119.64	177-1089D-3-5,55-56.5	1.84	0.74	2.50	-0.26	30.3	
19.48	119.79	177-1089D-3-5,60-61.5	1.92	0.60			30.3	64.9
19.53	119.99	177-1089D-3-5,65-66.5	1.81	0.65			30.4	
19.58	120.27	177-1089D-3-5,70-71.5			2.66	-0.14	30.8	60.9
19.63	120.70	177-1089D-3-5,75-76.5			2.44	-0.12	30.3	
19.68	121.29	177-1089D-3-5,80-81.5	2.10	0.77	2.18	0.01	28.9	70.6
19.73	121.95	177-1089D-3-5,85-86.5	1.87	0.51	2.33	-0.09	27.3	
19.78	122.58	177-1089D-3-5,90-91.5	1.79	1.21	2.05	0.09	28.3	62.7
19.83	123.15	177-1089D-3-5,95-96.5	1.84	0.62	1.98	-0.23	29.3	
19.88	123.64	177-1089D-3-5,100-101.5	1.90	0.60	2.41	-0.66		62.6
19.93	124.03	177-1089D-3-5,105-106.5	1.92	0.53	2.30	-0.32	32.2	
19.98	124.35	177-1089D-3-5,110-111.5	2.12	0.74	2.16	-0.40	34.8	70.8
20.03	124.66	177-1089D-3-5,115-116.5	1.72	0.45	2.32	-0.34	34.5	
20.08	124.98	177-1089D-3-5,120-121.5	1.95	0.35	2.28	-0.35	35.0	64.6
20.13	125.32	177-1089D-3-5,125-126.5	1.73	0.37	2.25	-0.25	37.9	
20.18	125.67	177-1089D-3-5,130-131.5	1.92	0.16	2.36	-0.06	42.2	53.2
20.23	126.02	177-1089D-3-5,135-136.5	2.09	0.29	2.35	-0.14	44.3	
20.28	126.38	177-1089D-3-5,140-141.5	1.71	0.13	2.37	-0.04	44.2	24.0
20.33	126.73	177-1089D-3-5,145-146.5	1.63	0.08	2.58	-0.29		
20.38	127.08	177-1089D-3-6,0-1.5	1.69	0.04	2.54	-0.09		35.7
20.43	127.44	177-1089D-3-6,5-6.5	1.31	-0.39	2.66	-0.03	55.3	
20.48	127.79	177-1089D-3-6,10-11.5	1.27	-0.52	2.85	-0.09	55.2	35.9
20.53	128.15	177-1089D-3-6,15-16.5	1.42	-0.37	2.83	-0.10	56.6	
20.58	128.50	177-1089D-3-6,20-21.5	1.06	-0.59	2.74	0.06	54.8	19.9
20.63	128.85	177-1089D-3-6,25-26.5	1.28	-0.47	2.94	-0.14	58.5	
20.68	129.21	177-1089D-3-6,30-31.5	1.72	-0.58	3.12	-0.02	56.1	20.1
20.73	129.56	177-1089D-3-6,35-36.5	1.66	-0.64	3.10	-0.07	61.0	
20.78	129.92	177-1089D-3-6,40-41.5	1.82	-0.95	3.28	-0.12	58.9	25.2
20.83	130.27	177-1089D-3-6,45-46.5	2.46	-0.61	3.38	-0.23	60.9	
20.88	130.63	177-1089D-3-6,50-51.5	2.43	-0.09	3.47	-0.62		24.0
20.93	130.98	177-1089D-3-6,55-56.5	2.48	-0.27	3.53	-0.25	59.4	
20.98	131.33	177-1089D-3-6,60-61.5	2.35	-0.34	3.67	-0.88	58.8	20.8
21.03	131.68	177-1089D-3-6,65-66.5	2.56	-0.07	3.51	-0.31	58.8	
21.08	132.02	177-1089D-3-6,70-71.5	2.84	-0.08			58.7	35.9
21.13	132.36	177-1089D-3-6,75-76.5	2.82	0.11	3.82	-0.94	57.8	
21.18	132.70	177-1089D-3-6,80-81.5	2.68	-0.45	3.85	-0.79	61.2	26.6
21.23	133.04	177-1089D-3-6,85-86.5	2.65	-0.13	3.91	-0.54	59.4	
21.28	133.38	177-1089D-3-6,90-91.5	2.72	-0.40	4.02	-0.71	59.9	25.7
21.33	133.72	177-1089D-3-6,95-96.5	3.04	0.01	3.97	-0.75	60.3	
21.38	134.06	177-1089D-3-6,100-101.5	2.93		3.98	-0.92	58.3	21.7
21.43	134.40	177-1089D-3-6,105-106.5	2.95	-0.48	4.10	-1.14	57.6	
21.48	134.74	177-1089D-3-6,110-111.5	3.23	-0.08	4.09	-0.87	61.2	27.5
21.53	135.08	177-1089D-3-6,115-116.5	3.11	-0.38	4.09	-0.88	62.4	
21.58	135.42	177-1089D-3-6,120-121.5	2.93	-0.24	4.29	-1.00	61.7	17.7
21.63	135.76	177-1089D-3-6,125-126.5	3.06	-0.09	4.24	-0.88	60.7	
21.64	135.83	177-1089B-3-1,120-121.5	3.35	-0.11	4.18	-0.89	54.5	15.0
21.69	136.17	177-1089B-3-1,125-126.5	3.13	-0.15	4.22	-0.84	53.1	13.1
21.74	136.51	177-1089B-3-1,130-131.5	3.23	-0.18	4.17	-0.70	54.4	13.8
21.79	136.85	177-1089B-3-1,135-136.5	3.25	-0.18	4.29	-1.03	55.4	8.7
21.84	137.19	177-1089B-3-1,140-141.5	3.10	-0.14	3.97	-0.77	57.8	
21.89	137.53	177-1089B-3-1,145-146.5	3.59	-0.08			56.4	7.6
21.94	137.87	177-1089B-3-2,0-1.5	3.21	-0.13	3.97	-0.89	56.3	12.3
21.99	138.21	177-1089B-3-2,5-6.5	3.06	-0.33	4.00	-0.79	51.8	22.4
22.04	138.55	177-1089B-3-2,10-11.5	3.01	-0.08	4.20	-1.08	48.9	
22.09	138.90	177-1089B-3-2,15-16.5	3.29	0.02	3.99	-0.78	50.1	
22.14	139.24	177-1089B-3-2,20-21.5	3.16	0.02	4.11	-0.94	48.0	6.2
22.19	139.58	177-1089B-3-2,25-26.5	3.46	0.17			46.4	25.3
22.24	139.93	177-1089B-3-2,30-31.5	3.25	0.17	4.14	-0.92	50.7	23.3
22.29	140.27	177-1089B-3-2,35-36.5	3.28	-0.24	4.08	-1.04	51.8	25.6
22.34	140.61	177-1089B-3-2,40-41.5	3.31	0.30	4.11	-1.01	49.6	18.1
22.39	140.95	177-1089B-3-2,45-46.5	3.12	-0.11	4.14	-1.18	47.3	19.0
22.44	141.30	177-1089B-3-2,50-51.5	3.32	0.18	4.07	-0.98	47.6	27.4
22.49	141.64	177-1089B-3-2,55-56.5	3.09	0.03	4.07	-0.98	47.3	25.9
22.54	141.98	177-1089B-3-2,60-61.5	2.94	-0.06	3.93	-0.66	52.7	21.1
22.59	142.33	177-1089B-3-2,65-66.5	3.20	-0.21	4.05	-0.87	47.8	25.4
22.64	142.67	177-1089B-3-2,70-71.5	3.10	-0.15	4.03	-1.17	45.4	24.5
22.69	143.01	177-1089B-3-2,75-76.5	3.02	-0.44	4.14	-1.22	46.3	27.9
22.74	143.36	177-1089B-3-2,80-81.5	2.69	-0.26	4.06	-1.26	45.2	26.8
22.79	143.70	177-1089B-3-2,85-86.5	3.08	-0.11	3.96	-1.18	42.3	40.6
22.84	144.04	177-1089B-3-2,90-91.5	3.17	-0.11			44.7	15.4
22.89	144.38	177-1089B-3-2,95-96.5	2.87	-0.15	4.09	-1.21	44.8	11.4
22.94	144.72	177-1089B-3-2,100-101.5	3.44	-0.25	4.18	-1.17	44.8	18.0
22.99	145.06	177-1089B-3-2,105-106.5	3.44	0.29	4.06	-0.98	45.8	28.2
23.04	145.40	177-1089B-3-2,110-111.5	3.06	-0.09	4.06	-1.08	49.8	34.8
23.09	145.74	177-1089B-3-2,115-116.5	3.17	0.07	4.00	-0.96	47.4	37.5
23.14	146.08	177-1089B-3-2,120-121.5	3.27	0.11	4.08	-1.03	44.9	40.2
23.19	146.42	177-1089B-3-2,125-126.5	3.13	-0.17	4.12	-0.99	47.1	33.9
23.24	146.76	177-1089B-3-2,130-131.5	3.33	0.00	4.08	-1.06	46.3	41.1
23.29	147.10	177-1089B-3-2,135-136.5	3.15	-0.10	4.01	-1.00	45.7	47.4
23.34	147.44	177-1089B-3-2,140-141.5	2.88	-0.27	4.05	-1.15	45.9	
23.39	147.78	177-1089B-3-2,145-146.5	3.19	-0.37	4.03	-1.27	46.8	
23.44	148.12	177-1089B-3-3,0-1.5	3.18	-0.34	4.10	-1.19	51.4	24.9
23.49	148.46	177-1089B-3-3,5-6.5	3.34	0.18	4.11	-1.01	49.5	
23.54	148.80	177-1089B-3-3,10-11.5	3.39	0.08	3.85	-1.02	47.4	
23.59	149.14	177-1089B-3-3,15-16.5	3.06	-0.16	4.02	-1.07	51.6	
23.64	149.48	177-1089B-3-3,20-21.5	3.14	-0.33	4.02	-1.06	53.0	
23.69	149.82	177-1089B-3-3,25-26.5	3.12	-0.19	4.00	-1.14	52.1	35.3
23.74	150.16	177-1089B-3-3,30-31.5	3.21	-0.08	3.90	-0.95	49.6	
23.79	150.49	177-1089B-3-3,35-36.5	3.23	-0.16	4.02	-1.05	49.3	
23.84	150.81	177-1089B-3-3,40-41.5	3.01	-0.31	3.88	-1.22	50.8	
23.89	151.14	177-1089B-3-3,45-46.5	2.96	-0.26	3.95	-1.04	51.6	
23.94	151.46	177-1089B-3-3,50-51.5	3.25	-0.03	3.92	-1.14	51.0	37.3
23.99	151.78	177-1089B-3-3,55-56.5	3.12	-0.01	4.09	-0.80	51.8	
24.04	152.11	177-1089B-3-3,60-61.5	3.18	-0.35	4.11	-0.76	48.7	
24.09	152.43	177-1089B-3-3,65-66.5	3.10	-0.50	4.12	-1.01	48.7	
