/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T7) Stable oxygen and carbon isotope ratios of Neogloboquadrina pachyderma (sinistral) at ODP Site 177-1094 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218134, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -53.180350 * LONGITUDE: 5.130333
	DATE/TIME START: 1998-01-20T00:00:00 * DATE/TIME END: 1998-01-20T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 90.970 m
Event(s):	177-1094 * LATITUDE: -53.180350 * LONGITUDE: 5.130333 * DATE/TIME: 1998-01-20T00:00:00 * ELEVATION: -2807.3 m * PENETRATION: 441.8 m * RECOVERY: 306.1 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 46 cores; 421.7 m cored; 20.1 m drilled; 72.6% recovery
Comment:	Depth is composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Neogloboquadrina pachyderma sinistral, δ18O [‰ PDB] (N. pachyderma s δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Neogloboquadrina pachyderma sinistral, δ13C [‰ PDB] (N. pachyderma s δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	3780 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]
26.510	130.080	177-1094C-3-5,35-37	3.90	0.19
26.810	130.840	177-1094C-3-5,65-67	4.58	0.05
26.910	131.090	177-1094C-3-5,75-77	4.65	-0.08
26.960	131.560	177-1094C-3-5,80-82	3.98	0.03
27.010	132.030	177-1094C-3-5,85-87	4.44	-0.14
27.110	132.980	177-1094C-3-5,95-97	3.97	0.07
27.160	133.450	177-1094C-3-5,100-102	4.45	-0.16
27.210	133.920	177-1094C-3-5,105-107	4.56	-0.21
27.260	134.390	177-1094C-3-5,110-112	4.38	-0.38
27.410	135.810	177-1094C-3-5,125-127	4.41	-0.07
27.510	136.750	177-1094C-3-5,135-137	4.32	-0.37
27.610	137.700	177-1094C-3-5,145-147	4.52	-0.17
27.660	138.170	177-1094C-3-6,0-2	4.45	-0.18
27.710	138.640	177-1094C-3-6,5-7	4.53	-0.12
27.960	141.000	177-1094C-3-6,30-32	4.74	-0.16
28.010	141.470	177-1094C-3-6,35-37	4.31	-0.26
28.060	141.940	177-1094C-3-6,40-42	4.43	-0.06
28.110	142.410	177-1094A-4-1,115-117	4.22	-0.36
28.160	142.880	177-1094A-4-1,120-122	4.25	-0.27
28.210	143.360	177-1094A-4-1,125-127	4.51	-0.24
28.260	143.830	177-1094A-4-1,130-132	4.45	-0.31
28.310	144.300	177-1094A-4-1,135-137	4.33	-0.27
28.390	145.050	177-1094A-4-2,5-7	4.31	-0.21
28.440	145.530	177-1094A-4-2,10-12	4.46	-0.26
28.490	146.000	177-1094A-4-2,15-17	4.31	-0.20
28.540	146.470	177-1094A-4-2,20-22	4.66	-0.45
28.640	147.410	177-1094A-4-2,30-32	4.40	-0.31
28.740	148.360	177-1094A-4-2,40-42	4.50	-0.28
28.790	148.830	177-1094A-4-2,45-47	4.49	-0.31
28.840	149.300	177-1094A-4-2,50-52	4.42	-0.32
28.890	149.770	177-1094A-4-2,55-57	4.45	-0.35
28.990	150.720	177-1094A-4-2,65-67	4.39	-0.44
29.090	151.660	177-1094A-4-2,75-77	4.38	-0.25
29.140	152.130	177-1094A-4-2,80-82	4.53	-0.37
29.190	152.600	177-1094A-4-2,85-87	4.40	-0.25
29.240	153.080	177-1094A-4-2,90-92	4.43	-0.36
29.290	153.550	177-1094A-4-2,95-97	4.16	-0.38
29.340	154.020	177-1094A-4-2,100-102	4.10	-0.16
29.390	154.490	177-1094A-4-2,105-107	4.12	-0.06
29.440	154.960	177-1094A-4-2,110-112	4.45	-0.29
29.490	155.430	177-1094A-4-2,115-117	4.50	-0.24
29.540	155.910	177-1094A-4-2,120-122	4.15	-0.20
29.640	156.850	177-1094A-4-2,130-132	4.04	-0.20
29.690	157.320	177-1094A-4-2,135-137	4.50	-0.22
29.740	157.790	177-1094A-4-2,140-142	4.39	-0.43
29.790	158.260	177-1094A-4-2,145-147	4.25	-0.23
29.840	158.740	177-1094A-4-3,0-2	4.23	-0.28
29.890	159.210	177-1094A-4-3,5-7	4.48	-0.23
29.940	159.680	177-1094A-4-3,10-12	4.27	-0.33
29.990	160.150	177-1094A-4-3,15-17	4.14	-0.26
30.040	160.620	177-1094A-4-3,20-22	4.40	-0.26
30.090	161.100	177-1094A-4-3,25-27	4.24	-0.27
30.140	161.570	177-1094A-4-3,30-32	4.26	-0.20
30.190	162.040	177-1094A-4-3,35-37	4.33	-0.22
30.290	162.980	177-1094A-4-3,45-47	4.31	-0.34
30.340	163.450	177-1094A-4-3,50-52	4.48	-0.17
30.390	163.930	177-1094A-4-3,55-57	4.03	-0.22
30.440	164.400	177-1094A-4-3,60-62	4.26	-0.17
30.490	164.870	177-1094A-4-3,65-67	4.34	-0.25
30.540	165.340	177-1094A-4-3,70-72	4.20	-0.20
30.590	165.810	177-1094A-4-3,75-77	4.19	-0.35
30.640	166.290	177-1094A-4-3,80-82	4.26	-0.19
30.690	166.760	177-1094A-4-3,85-87	4.31	-0.11
30.740	167.230	177-1094A-4-3,90-92	4.29	-0.21
30.840	168.170	177-1094A-4-3,100-102	4.27	-0.22
30.940	169.120	177-1094A-4-3,110-112	4.40	-0.38
30.990	169.590	177-1094A-4-3,115-117	4.48	-0.28
31.140	171.000	177-1094A-4-3,130-132	4.44	-0.28
31.390	173.360	177-1094A-4-4,5-7	4.48	-0.26
31.440	173.830	177-1094A-4-4,10-12	4.39	-0.30
31.490	174.310	177-1094A-4-4,15-17	4.51	-0.27
31.540	174.780	177-1094A-4-4,20-22	4.46	-0.28
31.590	175.250	177-1094A-4-4,25-27	4.38	-0.18
31.640	175.720	177-1094A-4-4,30-32	4.37	-0.25
31.690	176.190	177-1094A-4-4,35-37	4.44	-0.36
31.740	176.660	177-1094A-4-4,40-42	4.29	-0.35
31.840	177.610	177-1094A-4-4,50-52	4.32	-0.33
31.890	178.080	177-1094A-4-4,55-57	4.41	-0.30
31.940	178.550	177-1094A-4-4,60-62	4.41	-0.26
32.040	179.500	177-1094A-4-4,70-72	4.44	-0.21
32.090	179.970	177-1094A-4-4,75-77	4.26	-0.40
32.190	180.910	177-1094A-4-4,85-87	4.52	-0.23
32.240	181.380	177-1094A-4-4,90-92	4.41	-0.27
32.290	181.850	177-1094A-4-4,95-97	4.41	-0.23
32.390	182.800	177-1094A-4-4,105-107	4.36	-0.26
32.440	183.270	177-1094A-4-4,110-112	4.39	-0.42
32.590	184.690	177-1094A-4-4,125-127	4.25	-0.52
33.040	188.930	177-1094A-4-5,25-27	4.21	-0.34
33.740	195.540	177-1094A-4-5,95-97	4.32	-0.29
33.790	196.010	177-1094A-4-5,100-102	3.98	-0.20
33.840	196.480	177-1094A-4-5,105-107	4.25	-0.47
33.890	196.950	177-1094A-4-5,110-112	4.14	-0.35
33.940	197.420	177-1094A-4-5,115-117	4.23	-0.24
33.990	197.900	177-1094A-4-5,120-122	4.39	-0.26
34.040	198.370	177-1094A-4-5,125-127	4.07	-0.23
34.090	198.840	177-1094A-4-5,130-132	4.00	-0.15
34.140	199.310	177-1094A-4-5,135-137	4.28	-0.24
34.190	199.780	177-1094A-4-5,140-142	4.30	-0.17
35.660	213.650	177-1094A-5-1,15-17	3.36	0.05
35.760	214.600	177-1094A-5-1,25-27	3.26	0.09
35.810	215.070	177-1094A-5-1,30-32	3.39	0.20
35.860	215.540	177-1094A-5-1,35-37	3.27	0.14
35.910	215.790	177-1094A-5-1,40-42	3.30	0.28
35.960	216.050	177-1094A-5-1,45-47	3.42	0.40
36.860	220.640	177-1094A-5-1,135-137	4.19	-0.22
36.910	220.890	177-1094A-5-1,140-142	4.07	-0.27
36.960	221.150	177-1094A-5-1,145-147	4.06	-0.20
37.010	221.400	177-1094A-5-2,0-2	4.13	-0.27
37.210	222.420	177-1094A-5-2,20-22	4.14	-0.25
37.360	223.190	177-1094A-5-2,35-37	3.97	-0.17
37.460	223.700	177-1094A-5-2,45-47	3.98	-0.29
38.160	227.260	177-1094A-5-2,115-117	4.12	-0.12
38.260	227.770	177-1094A-5-2,125-127	3.97	0.25
38.310	228.030	177-1094A-5-2,130-132	4.03	0.28
38.410	228.540	177-1094A-5-2,140-142	4.05	-0.05
39.060	231.850	177-1094A-5-3,55-57	3.78	0.18
39.110	232.470	177-1094A-5-3,60-62	3.40	0.34
39.160	233.100	177-1094A-5-3,65-67	3.28	0.35
39.210	233.720	177-1094A-5-3,70-72	3.20	0.21
39.260	234.340	177-1094A-5-3,75-77	3.32	0.37
39.310	234.960	177-1094A-5-3,80-82	3.30	0.32
39.360	235.590	177-1094A-5-3,85-87	3.28	0.38
39.410	236.210	177-1094A-5-3,90-92	3.33	0.27
39.460	236.830	177-1094A-5-3,95-97	3.21	0.23
39.510	237.450	177-1094A-5-3,100-102	3.10	0.44
39.560	238.080	177-1094A-5-3,105-107	3.00	0.30
39.610	238.700	177-1094A-5-3,110-112	2.82	0.28
39.660	239.320	177-1094A-5-3,115-117	2.89	0.29
39.710	239.940	177-1094A-5-3,120-122	2.65	0.19
39.760	240.570	177-1094A-5-3,125-127	2.64	0.17
39.810	241.190	177-1094A-5-3,130-132	2.57	0.22
39.860	241.320	177-1094A-5-3,135-137	2.78	0.43
39.910	241.460	177-1094A-5-3,140-142	2.79	0.05
39.960	241.590	177-1094A-5-3,145-147	2.75	0.19
40.010	241.720	177-1094A-5-4,0-2	3.04	0.16
40.110	241.990	177-1094A-5-4,10-12	3.42	-0.01
40.160	242.120	177-1094A-5-4,15-17	2.91	0.04
40.210	242.260	177-1094A-5-4,20-22	3.51	-0.10
40.260	242.390	177-1094A-5-4,25-27	3.10	0.18
40.310	242.530	177-1094A-5-4,30-32	2.92	0.02
40.360	242.660	177-1094A-5-4,35-37	2.80	0.04
40.410	242.790	177-1094A-5-4,40-42	3.16	0.04
40.460	242.930	177-1094A-5-4,45-47	2.94	0.08
40.510	243.060	177-1094A-5-4,50-52	3.52	0.07
40.560	243.190	177-1094A-5-4,55-57	3.13	0.04
40.610	243.330	177-1094A-5-4,60-62	3.59	0.18
40.660	243.460	177-1094A-5-4,65-67	3.62	0.12
40.710	243.590	177-1094A-5-4,70-72	3.49	0.24
40.760	243.730	177-1094A-5-4,75-77	3.21	-0.15
40.810	243.860	177-1094A-5-4,80-82	3.27	-0.14
40.860	243.990	177-1094A-5-4,85-87	3.18	-0.26
40.910	244.130	177-1094A-5-4,90-92	3.49	-0.06
40.960	244.260	177-1094A-5-4,95-97	3.48	0.01
41.010	244.400	177-1094A-5-4,100-102	3.44	-0.11
41.050	244.500	177-1094A-5-4,104-107	3.65	0.20
41.090	244.610	177-1094A-5-4,108-111	3.63	0.05
41.160	244.800	177-1094A-5-4,115-117	3.37	-0.22
41.210	244.930	177-1094A-5-4,120-122	3.60	0.15
41.260	245.060	177-1094A-5-4,125-127	3.84	-0.10
41.310	245.200	177-1094A-5-4,130-132	3.61	0.22
41.510	245.730	177-1094A-5-5,0-2	3.13	0.28
41.560	245.860	177-1094A-5-5,5-7	3.17	0.13
41.610	246.000	177-1094A-5-5,10-12	3.53	0.01
41.660	246.130	177-1094A-5-5,15-17	4.18	-0.25
41.710	246.260	177-1094A-5-5,20-22	4.11	-0.25
41.760	246.400	177-1094A-5-5,25-27	4.05	-0.16
41.810	246.530	177-1094A-5-5,30-32	3.95	-0.18
41.860	246.670	177-1094A-5-5,35-37	3.91	-0.24
41.910	246.800	177-1094A-5-5,40-42	4.19	-0.11
41.960	246.930	177-1094A-5-5,45-47	3.92	-0.04
42.010	247.070	177-1094A-5-5,50-52	4.12	-0.26
42.060	247.200	177-1094A-5-5,55-57	4.22	-0.17
42.110	247.330	177-1094A-5-5,60-62	4.24	-0.23
42.160	247.470	177-1094A-5-5,65-67	4.25	-0.26
42.210	247.600	177-1094A-5-5,70-72	4.37	-0.24
42.260	247.900	177-1094A-5-5,75-77	4.39	-0.36
42.310	248.200	177-1094A-5-5,80-82	4.39	-0.27
42.360	248.490	177-1094A-5-5,85-87	4.17	-0.16
42.410	248.790	177-1094A-5-5,90-92	4.22	-0.41
42.460	249.090	177-1094A-5-5,95-97	4.45	-0.24
42.540	249.570	177-1094D-3-2,45-47	4.43	-0.18
42.590	249.870	177-1094D-3-2,50-52	4.39	-0.33
42.640	250.160	177-1094D-3-2,55-57	4.39	-0.22
42.690	250.460	177-1094D-3-2,60-62	4.40	-0.16
42.740	250.760	177-1094D-3-2,65-67	4.37	-0.30
42.840	251.360	177-1094D-3-2,75-77	4.44	-0.36
42.890	251.650	177-1094D-3-2,80-82	4.42	-0.29
42.940	251.950	177-1094D-3-2,85-87	4.42	-0.27
42.990	252.250	177-1094D-3-2,90-92	4.22	-0.24
43.040	252.550	177-1094D-3-2,95-97	4.22	-0.28
43.090	252.850	177-1094D-3-2,100-102	4.24	-0.34
43.140	253.150	177-1094D-3-2,105-107	4.24	-0.29
43.190	253.440	177-1094D-3-2,110-112	4.16	-0.22
43.240	253.740	177-1094D-3-2,115-117	4.33	-0.21
43.290	254.040	177-1094D-3-2,120-122	4.11	-0.38
43.340	254.340	177-1094D-3-2,125-127	4.15	-0.30
43.390	254.640	177-1094D-3-2,130-132	4.18	-0.45
43.440	254.930	177-1094D-3-2,135-137	4.20	-0.39
43.490	255.230	177-1094D-3-2,140-142	4.24	-0.28
43.520	255.410	177-1094D-3-3,0-2	4.25	-0.36
43.570	255.710	177-1094D-3-3,5-7	4.47	-0.20
43.620	256.010	177-1094D-3-3,10-12	4.28	-0.33
43.670	256.310	177-1094D-3-3,15-17	4.34	-0.31
43.720	256.600	177-1094D-3-3,20-22	4.14	-0.35
43.770	256.900	177-1094D-3-3,25-27	4.35	-0.40
43.820	257.200	177-1094D-3-3,30-32	4.40	-0.34
43.870	257.500	177-1094D-3-3,35-37	4.31	-0.24
43.970	258.100	177-1094D-3-3,45-47	4.32	-0.43
44.020	258.390	177-1094D-3-3,50-52	4.23	-0.42
44.070	258.690	177-1094D-3-3,55-57	4.27	-0.42
44.120	258.990	177-1094D-3-3,60-62	4.29	-0.42
44.170	259.290	177-1094D-3-3,65-67	4.36	-0.36
44.220	259.590	177-1094D-3-3,70-72	4.38	-0.42
44.270	259.880	177-1094D-3-3,75-77	4.28	-0.46
44.320	260.180	177-1094D-3-3,80-82	4.27	-0.42
44.370	260.480	177-1094D-3-3,85-87	4.49	-0.08
44.420	260.780	177-1094D-3-3,90-92	4.46	-0.25
44.470	261.080	177-1094D-3-3,95-97	4.48	-0.13
44.520	261.370	177-1094D-3-3,100-102	4.42	-0.15
44.570	261.670	177-1094D-3-3,105-107	4.37	-0.45
44.620	261.970	177-1094D-3-3,110-112	4.34	-0.53
44.670	262.270	177-1094D-3-3,115-117	4.44	-0.46
44.720	262.570	177-1094D-3-3,120-122	4.34	-0.63
44.770	262.870	177-1094D-3-3,125-127	4.33	-0.48
44.870	263.460	177-1094D-3-3,135-137	4.34	-0.38
44.920	263.760	177-1094D-3-3,140-142	4.31	-0.36
44.970	264.060	177-1094D-3-3,145-147	4.43	-0.22
45.020	264.360	177-1094D-3-4,0-2	4.42	-0.41
45.070	264.650	177-1094D-3-4,5-7	4.39	-0.23
45.120	264.950	177-1094D-3-4,10-12	4.36	-0.25
45.170	265.250	177-1094D-3-4,15-17	4.37	-0.36
45.220	265.550	177-1094D-3-4,20-22	4.36	-0.23
45.270	265.850	177-1094D-3-4,25-27	4.28	-0.32
45.320	266.150	177-1094D-3-4,30-32	4.39	-0.29
45.470	267.040	177-1094D-3-4,45-47	4.40	-0.30
45.520	267.340	177-1094D-3-4,50-52	4.27	-0.35
45.570	267.640	177-1094D-3-4,55-57	4.27	-0.36
45.620	267.930	177-1094D-3-4,60-62	4.41	-0.30
45.670	268.230	177-1094D-3-4,65-67	4.47	-0.22
45.720	268.530	177-1094D-3-4,70-72	4.37	-0.35
45.770	268.830	177-1094D-3-4,75-77	4.36	-0.45
45.820	269.130	177-1094D-3-4,80-82	4.38	-0.33
45.870	269.430	177-1094D-3-4,85-87	4.31	-0.14
45.920	269.720	177-1094D-3-4,90-92	4.25	-0.25
45.970	270.020	177-1094D-3-4,95-97	4.36	-0.26
46.070	270.620	177-1094D-3-4,105-107	4.46	-0.20
46.120	270.920	177-1094D-3-4,110-112	4.40	-0.29
46.170	271.210	177-1094D-3-4,115-117	4.37	-0.36
46.220	271.510	177-1094D-3-4,120-122	4.39	-0.06
46.270	271.810	177-1094D-3-4,125-127	4.40	-0.19
46.320	272.110	177-1094D-3-4,130-132	4.41	-0.29
46.370	272.410	177-1094D-3-4,135-137	4.44	-0.27
46.420	272.700	177-1094D-3-4,140-142	4.42	-0.31
46.470	273.000	177-1094D-3-4,145-147	4.31	-0.28
46.520	273.300	177-1094D-3-5,0-2	4.39	-0.29
46.570	273.600	177-1094D-3-5,5-7	4.40	-0.23
46.620	273.900	177-1094D-3-5,10-12	4.46	-0.26
46.670	274.200	177-1094D-3-5,15-17	4.32	-0.24
46.720	274.490	177-1094D-3-5,20-22	4.37	-0.27
46.770	274.790	177-1094D-3-5,25-27	4.34	-0.32
46.820	275.090	177-1094D-3-5,30-32	4.40	-0.46
46.870	275.390	177-1094D-3-5,35-37	4.44	-0.24
46.920	275.690	177-1094D-3-5,40-42	4.40	-0.36
46.970	275.980	177-1094D-3-5,45-47	4.49	-0.25
47.020	276.280	177-1094D-3-5,50-52	4.40	-0.39
47.070	276.580	177-1094D-3-5,55-57	4.44	-0.27
47.120	276.880	177-1094D-3-5,60-62	4.43	-0.29
47.170	277.180	177-1094D-3-5,65-67	4.28	-0.42
47.270	277.770	177-1094D-3-5,75-77	4.30	-0.29
47.320	278.070	177-1094D-3-5,80-82	4.34	-0.35
47.710	281.820	177-1094A-6-2,65-67	4.32	-0.45
47.760	282.330	177-1094A-6-2,70-72	4.29	-0.53
47.810	283.790	177-1094A-6-2,75-77	4.23	-0.16
47.960	288.170	177-1094A-6-2,90-92	3.22	0.15
48.110	289.180	177-1094A-6-2,105-107	4.29	-0.44
48.360	290.860	177-1094A-6-2,130-132	4.33	-0.50
48.560	292.210	177-1094A-6-3,0-2	3.47	0.12
48.910	294.570	177-1094A-6-3,35-37	4.29	-0.51
49.160	296.250	177-1094A-6-3,60-62	4.27	-0.65
49.910	301.300	177-1094A-6-3,135-137	4.36	-0.44
50.160	302.980	177-1094A-6-4,10-12	3.83	-0.02
50.460	305.000	177-1094A-6-4,40-42	4.01	-0.43
50.510	305.440	177-1094A-6-4,45-47	3.12	0.52
50.560	305.880	177-1094A-6-4,50-52	3.25	0.49
50.610	306.320	177-1094A-6-4,55-57	3.35	0.44
50.660	306.760	177-1094A-6-4,60-62	3.26	0.53
50.710	307.210	177-1094A-6-4,65-67	3.15	0.33
50.760	307.650	177-1094A-6-4,70-72	3.11	0.02
50.810	308.090	177-1094A-6-4,75-77	3.59	0.70
50.860	308.530	177-1094A-6-4,80-82	3.25	0.49
50.910	308.970	177-1094A-6-4,85-87	3.28	0.64
50.960	309.410	177-1094A-6-4,90-92	3.32	0.39
51.010	309.850	177-1094A-6-4,95-97	3.52	0.04
51.060	310.290	177-1094A-6-4,100-102	3.00	0.56
51.160	311.180	177-1094A-6-4,110-112	3.30	0.42
51.210	311.620	177-1094A-6-4,115-117	3.64	0.06
51.310	312.500	177-1094A-6-4,125-127	3.10	0.48
51.360	312.940	177-1094A-6-4,130-132	2.94	0.39
51.410	313.380	177-1094A-6-4,135-137	2.97	0.35
51.560	314.710	177-1094A-6-5,0-2	3.25	0.43
51.760	316.470	177-1094A-6-5,20-22	2.92	0.48
51.810	316.910	177-1094A-6-5,25-27	3.59	-0.23
52.160	320.000	177-1094A-6-5,60-62	4.20	-0.58
52.360	322.750	177-1094A-6-5,80-82	3.66	-0.08
52.410	323.440	177-1094A-6-5,85-87	4.19	-0.35
52.560	325.500	177-1094A-6-5,100-102	2.98	0.15
52.610	326.190	177-1094C-6-3,15-17	2.77	0.04
52.660	326.870	177-1094C-6-3,20-22	2.56	0.20
52.710	327.560	177-1094C-6-3,24.5-27	2.68	0.07
52.760	328.250	177-1094C-6-3,30-32	2.78	0.09
52.810	328.940	177-1094C-6-3,35-37	2.66	-0.09
52.860	329.620	177-1094C-6-3,40-42	2.40	-0.11
52.900	330.170	177-1094C-6-3,44.5-47	2.32	-0.13
52.960	331.000	177-1094C-6-3,50-52	2.30	-0.03
53.010	331.330	177-1094C-6-3,54.5-57	2.44	0.02
53.060	331.670	177-1094C-6-3,60-62	2.68	0.11
53.110	332.000	177-1094C-6-3,65-67	3.19	0.16
53.160	332.330	177-1094C-6-3,70-72	3.14	0.24
53.210	332.670	177-1094C-6-3,74.5-77	3.26	0.31
53.260	333.000	177-1094C-6-3,80-82	3.34	0.21
53.310	333.330	177-1094C-6-3,84.5-87	3.21	0.37
53.360	333.670	177-1094C-6-3,90-92	2.99	0.14
53.410	334.000	177-1094C-6-3,95-97	2.83	0.05
53.460	334.330	177-1094C-6-3,100-102	3.30	0.10
53.510	334.670	177-1094C-6-3,104.5-107	3.16	-0.05
53.560	335.000	177-1094C-6-3,110-112	3.28	0.12
53.660	335.670	177-1094C-6-3,120-122	3.54	0.02
53.710	336.000	177-1094C-6-3,125-127	3.81	-0.18
53.760	336.330	177-1094C-6-3,129.5-132	3.48	-0.15
53.810	336.670	177-1094C-6-3,134.5-137	3.50	-0.32
53.860	337.000	177-1094C-6-3,140-142	3.51	-0.27
53.900	337.140	177-1094C-6-3,144.5-147	3.48	-0.19
53.960	337.360	177-1094C-6-4,0-3	3.78	-0.07
54.030	337.610	177-1094C-6-4,7-10	3.60	-0.16
54.100	337.860	177-1094C-6-4,14-17	3.45	-0.42
54.140	338.000	177-1094C-6-4,18-21	3.56	-0.44
54.210	338.250	177-1094C-6-4,25-28	3.62	-0.34
54.280	338.500	177-1094C-6-4,32-35	3.88	-0.09
54.360	338.790	177-1094C-6-4,40-43	3.80	-0.21
54.410	338.960	177-1094C-6-4,45-50	4.07	-0.12
54.470	339.180	177-1094C-6-4,51-54	3.88	-0.09
54.660	339.860	177-1094C-6-4,70-72	4.20	-0.13
54.710	340.040	177-1094C-6-4,74.5-77	3.90	-0.19
54.760	340.210	177-1094C-6-4,80-82	4.15	-0.28
54.810	340.390	177-1094C-6-4,84.5-87	4.18	-0.33
54.860	340.570	177-1094C-6-4,90-92	4.58	-0.17
54.910	340.750	177-1094C-6-4,95-97	4.19	-0.26
54.960	340.930	177-1094C-6-4,100-102	4.27	-0.36
55.010	341.110	177-1094C-6-4,104.5-107	4.29	-0.55
55.060	341.290	177-1094C-6-4,110-112	4.40	-0.43
55.100	341.430	177-1094C-6-4,114.5-117	4.50	-0.39
55.160	341.640	177-1094C-6-4,120-122	4.32	-0.45
55.210	341.820	177-1094C-6-4,125-127	4.48	-0.42
55.260	342.000	177-1094C-6-4,129.5-132	4.52	-0.50
55.310	342.090	177-1094C-6-4,134.5-137	4.65	-0.43
55.360	342.180	177-1094C-6-4,140-142	4.64	-0.47
55.400	342.250	177-1094C-6-4,144.5-147	4.52	-0.33
55.460	342.350	177-1094C-6-5,0-2	4.45	-0.38
55.510	342.440	177-1094C-6-5,5-7	4.50	-0.37
55.560	342.530	177-1094C-6-5,10-12	4.40	-0.40
55.610	342.610	177-1094C-6-5,15-17	4.33	-0.43
55.710	342.790	177-1094C-6-5,25-27	4.41	-0.45
55.760	342.880	177-1094C-6-5,30-32	4.24	-0.37
55.920	343.160	177-1094C-6-6,10-12	4.20	-0.34
55.970	343.250	177-1094C-6-6,15-17	4.24	-0.45
56.020	343.330	177-1094C-6-6,20-22	4.10	-0.42
56.070	343.420	177-1094C-6-6,25-27	4.47	-0.38
56.170	343.600	177-1094C-6-6,35-37	4.36	-0.49
56.220	343.680	177-1094C-6-6,40-42	4.47	-0.37
56.270	343.770	177-1094C-6-6,45-47	4.20	-0.48
56.320	343.860	177-1094C-6-6,50-52	4.21	-0.38
56.370	343.950	177-1094C-6-6,55-57	4.26	-0.48
56.420	344.040	177-1094C-6-6,60-62	4.31	-0.46
56.470	344.120	177-1094C-6-6,65-67	4.25	-0.50
60.200	365.310	177-1094A-7-5,0-2	3.55	0.15
60.250	365.800	177-1094A-7-5,5-7	4.40	-0.32
60.300	366.280	177-1094A-7-5,10-12	4.05	-0.21
60.350	366.760	177-1094A-7-5,15-17	3.22	0.63
60.400	367.240	177-1094A-7-5,20-22	3.39	0.53
60.450	367.720	177-1094A-7-5,25-27	3.28	0.72
60.500	368.200	177-1094A-7-5,30-32	3.30	0.71
60.550	368.690	177-1094A-7-5,35-37	3.29	0.87
60.600	369.170	177-1094A-7-5,40-42	3.34	0.67
60.650	369.650	177-1094A-7-5,45-47	3.42	0.80
60.700	370.130	177-1094A-7-5,50-52	3.40	0.65
60.750	370.610	177-1094A-7-5,55-57	3.24	0.76
60.800	371.050	177-1094A-7-5,60-62	3.35	0.78
60.850	371.320	177-1094A-7-5,65-67	3.30	0.77
60.900	371.580	177-1094A-7-5,70-72	3.20	0.76
60.950	371.840	177-1094A-7-5,75-77	3.29	0.71
61.000	372.110	177-1094A-7-5,80-82	3.34	0.83
61.050	372.370	177-1094A-7-5,85-87	3.19	0.79
61.100	372.630	177-1094A-7-5,90-92	3.30	0.61
61.150	372.890	177-1094A-7-5,95-97	3.28	0.63
61.200	373.160	177-1094A-7-5,100-102	3.20	0.71
61.250	373.420	177-1094A-7-5,105-107	3.34	1.00
61.300	373.680	177-1094A-7-5,110-112	3.18	0.79
61.350	373.950	177-1094A-7-5,115-117	2.99	0.52
61.400	374.210	177-1094A-7-5,120-122	3.14	0.66
61.450	374.470	177-1094A-7-5,125-127	3.21	0.60
61.500	374.740	177-1094A-7-5,130-132	3.35	0.51
61.550	375.000	177-1094A-7-5,135-137	3.22	0.64
61.600	375.260	177-1094A-7-5,140-142	3.43	0.53
61.650	375.530	177-1094A-7-5,145-147	3.28	0.61
61.700	375.790	177-1094A-7-6,0-2	3.30	0.71
61.750	376.050	177-1094A-7-6,5-7	3.46	0.48
61.800	376.320	177-1094A-7-6,10-12	3.23	0.60
61.850	376.580	177-1094A-7-6,15-17	3.38	0.60
61.900	376.840	177-1094A-7-6,20-22	3.07	0.68
